"CNTRY","YEAR","SAMPLE","AGE","SEX","population"
"Argentina","1970","Argentina 1970","Less than 1 year","Male","263650"
"Argentina","1970","Argentina 1970","Less than 1 year","Female","244650"
"Argentina","1970","Argentina 1970","Less than 1 year","Unknown","50"
"Argentina","1970","Argentina 1970","1 year","Male","231150"
"Argentina","1970","Argentina 1970","1 year","Female","228000"
"Argentina","1970","Argentina 1970","1 year","Unknown","500"
"Argentina","1970","Argentina 1970","2 years","Male","237300"
"Argentina","1970","Argentina 1970","2 years","Female","232250"
"Argentina","1970","Argentina 1970","3","Male","233900"
"Argentina","1970","Argentina 1970","3","Female","224500"
"Argentina","1970","Argentina 1970","4","Male","227800"
"Argentina","1970","Argentina 1970","4","Female","224800"
"Argentina","1970","Argentina 1970","5","Male","230950"
"Argentina","1970","Argentina 1970","5","Female","227850"
"Argentina","1970","Argentina 1970","5","Unknown","150"
"Argentina","1970","Argentina 1970","6","Male","233700"
"Argentina","1970","Argentina 1970","6","Female","228100"
"Argentina","1970","Argentina 1970","7","Male","234250"
"Argentina","1970","Argentina 1970","7","Female","228500"
"Argentina","1970","Argentina 1970","8","Male","231300"
"Argentina","1970","Argentina 1970","8","Female","228450"
"Argentina","1970","Argentina 1970","9","Male","227350"
"Argentina","1970","Argentina 1970","9","Female","216700"
"Argentina","1970","Argentina 1970","10","Male","223400"
"Argentina","1970","Argentina 1970","10","Female","223300"
"Argentina","1970","Argentina 1970","11","Male","227950"
"Argentina","1970","Argentina 1970","11","Female","214650"
"Argentina","1970","Argentina 1970","12","Male","221850"
"Argentina","1970","Argentina 1970","12","Female","219100"
"Argentina","1970","Argentina 1970","12","Unknown","350"
"Argentina","1970","Argentina 1970","13","Male","218800"
"Argentina","1970","Argentina 1970","13","Female","211350"
"Argentina","1970","Argentina 1970","14","Male","216850"
"Argentina","1970","Argentina 1970","14","Female","213000"
"Argentina","1970","Argentina 1970","15","Male","215300"
"Argentina","1970","Argentina 1970","15","Female","214500"
"Argentina","1970","Argentina 1970","16","Male","208750"
"Argentina","1970","Argentina 1970","16","Female","206750"
"Argentina","1970","Argentina 1970","17","Male","208900"
"Argentina","1970","Argentina 1970","17","Female","206850"
"Argentina","1970","Argentina 1970","18","Male","215100"
"Argentina","1970","Argentina 1970","18","Female","209850"
"Argentina","1970","Argentina 1970","19","Male","206900"
"Argentina","1970","Argentina 1970","19","Female","199350"
"Argentina","1970","Argentina 1970","20","Male","210950"
"Argentina","1970","Argentina 1970","20","Female","203650"
"Argentina","1970","Argentina 1970","21","Male","200900"
"Argentina","1970","Argentina 1970","21","Female","196750"
"Argentina","1970","Argentina 1970","21","Unknown","200"
"Argentina","1970","Argentina 1970","22","Male","190850"
"Argentina","1970","Argentina 1970","22","Female","198000"
"Argentina","1970","Argentina 1970","22","Unknown","400"
"Argentina","1970","Argentina 1970","23","Male","186750"
"Argentina","1970","Argentina 1970","23","Female","192250"
"Argentina","1970","Argentina 1970","24","Male","179450"
"Argentina","1970","Argentina 1970","24","Female","188750"
"Argentina","1970","Argentina 1970","25","Male","181100"
"Argentina","1970","Argentina 1970","25","Female","185100"
"Argentina","1970","Argentina 1970","26","Male","172800"
"Argentina","1970","Argentina 1970","26","Female","176950"
"Argentina","1970","Argentina 1970","27","Male","163000"
"Argentina","1970","Argentina 1970","27","Female","173300"
"Argentina","1970","Argentina 1970","28","Male","162150"
"Argentina","1970","Argentina 1970","28","Female","165850"
"Argentina","1970","Argentina 1970","29","Male","162750"
"Argentina","1970","Argentina 1970","29","Female","156900"
"Argentina","1970","Argentina 1970","30","Male","168500"
"Argentina","1970","Argentina 1970","30","Female","173650"
"Argentina","1970","Argentina 1970","31","Male","155950"
"Argentina","1970","Argentina 1970","31","Female","157850"
"Argentina","1970","Argentina 1970","32","Male","152800"
"Argentina","1970","Argentina 1970","32","Female","154100"
"Argentina","1970","Argentina 1970","33","Male","155550"
"Argentina","1970","Argentina 1970","33","Female","157800"
"Argentina","1970","Argentina 1970","34","Male","150850"
"Argentina","1970","Argentina 1970","34","Female","149900"
"Argentina","1970","Argentina 1970","35","Male","158900"
"Argentina","1970","Argentina 1970","35","Female","156600"
"Argentina","1970","Argentina 1970","36","Male","144200"
"Argentina","1970","Argentina 1970","36","Female","146750"
"Argentina","1970","Argentina 1970","37","Male","151750"
"Argentina","1970","Argentina 1970","37","Female","148900"
"Argentina","1970","Argentina 1970","38","Male","161650"
"Argentina","1970","Argentina 1970","38","Female","155250"
"Argentina","1970","Argentina 1970","39","Male","161150"
"Argentina","1970","Argentina 1970","39","Female","159000"
"Argentina","1970","Argentina 1970","40","Male","166150"
"Argentina","1970","Argentina 1970","40","Female","166750"
"Argentina","1970","Argentina 1970","41","Male","151300"
"Argentina","1970","Argentina 1970","41","Female","156200"
"Argentina","1970","Argentina 1970","42","Male","156450"
"Argentina","1970","Argentina 1970","42","Female","152750"
"Argentina","1970","Argentina 1970","43","Male","148750"
"Argentina","1970","Argentina 1970","43","Female","149600"
"Argentina","1970","Argentina 1970","44","Male","146100"
"Argentina","1970","Argentina 1970","44","Female","143750"
"Argentina","1970","Argentina 1970","45","Male","145400"
"Argentina","1970","Argentina 1970","45","Female","149250"
"Argentina","1970","Argentina 1970","46","Male","136150"
"Argentina","1970","Argentina 1970","46","Female","143600"
"Argentina","1970","Argentina 1970","47","Male","141400"
"Argentina","1970","Argentina 1970","47","Female","137500"
"Argentina","1970","Argentina 1970","48","Male","131000"
"Argentina","1970","Argentina 1970","48","Female","136300"
"Argentina","1970","Argentina 1970","49","Male","129400"
"Argentina","1970","Argentina 1970","49","Female","131650"
"Argentina","1970","Argentina 1970","50","Male","128200"
"Argentina","1970","Argentina 1970","50","Female","132900"
"Argentina","1970","Argentina 1970","51","Male","110350"
"Argentina","1970","Argentina 1970","51","Female","114950"
"Argentina","1970","Argentina 1970","52","Male","111600"
"Argentina","1970","Argentina 1970","52","Female","112300"
"Argentina","1970","Argentina 1970","53","Male","104450"
"Argentina","1970","Argentina 1970","53","Female","113300"
"Argentina","1970","Argentina 1970","54","Male","107100"
"Argentina","1970","Argentina 1970","54","Female","111450"
"Argentina","1970","Argentina 1970","55","Male","105750"
"Argentina","1970","Argentina 1970","55","Female","113900"
"Argentina","1970","Argentina 1970","56","Male","109100"
